user_id,item_ids
60,[   0    1    2 ... 9721 9722 9723]
61,[   0    3    4 ... 9721 9722 9723]
62,[   0    1    4 ... 9721 9722 9723]
63,[   5    8   10 ... 9721 9722 9723]
64,[   0    1    2 ... 9721 9722 9723]
65,[   0    1    4 ... 9721 9722 9723]
66,[   0    1    2 ... 9721 9722 9723]
67,[   5    7    8 ... 9721 9722 9723]
68,[   0    1    2 ... 9721 9722 9723]
69,[   0    1    2 ... 9721 9722 9723]
70,[   0    1    2 ... 9721 9722 9723]
71,[   0    1    4 ... 9721 9722 9723]
72,[   0    1    2 ... 9721 9722 9723]
73,[   0    1    2 ... 9721 9722 9723]
74,[   0    1    3 ... 9721 9722 9723]
75,[   0    1    3 ... 9721 9722 9723]
76,[   0    1    2 ... 9721 9722 9723]
77,[   0    1    2 ... 9721 9722 9723]
78,[   0    2    3 ... 9721 9722 9723]
79,[   0    1    2 ... 9721 9722 9723]
80,[   0    1    3 ... 9721 9722 9723]
81,[   0    3    4 ... 9721 9722 9723]
82,[   0    1    2 ... 9721 9722 9723]
83,[   0    2    4 ... 9721 9722 9723]
84,[   0    1    2 ... 9721 9722 9723]
85,[   0    1    2 ... 9721 9722 9723]
86,[   0    1    2 ... 9721 9722 9723]
87,[   0    1    2 ... 9721 9722 9723]
88,[   0    1    2 ... 9721 9722 9723]
89,[   0    1    2 ... 9721 9722 9723]
90,[   4    5    8 ... 9721 9722 9723]
91,[   0    1    2 ... 9721 9722 9723]
92,[   0    1    2 ... 9721 9722 9723]
93,[   0    1    3 ... 9721 9722 9723]
94,[   0    1    2 ... 9721 9722 9723]
95,[   0    1    2 ... 9721 9722 9723]
96,[   0    1    2 ... 9721 9722 9723]
97,[   0    1    2 ... 9721 9722 9723]
98,[   0    1    2 ... 9721 9722 9723]
99,[   1    2    3 ... 9721 9722 9723]
100,[   0    1    2 ... 9721 9722 9723]
101,[   3    4    5 ... 9721 9722 9723]
102,[   0    1    2 ... 9721 9722 9723]
103,[   0    1    3 ... 9721 9722 9723]
104,[   0    4    5 ... 9721 9722 9723]
105,[   0    1    2 ... 9721 9722 9723]
106,[   0    1    2 ... 9721 9722 9723]
107,[   0    1    2 ... 9721 9722 9723]
108,[   0    4    5 ... 9721 9722 9723]
109,[   0    1    3 ... 9721 9722 9723]
110,[   0    1    2 ... 9721 9722 9723]
111,[   0    4    5 ... 9721 9722 9723]
112,[   0    1    2 ... 9721 9722 9723]
113,[   0    1    2 ... 9721 9722 9723]
114,[   0    1    2 ... 9721 9722 9723]
115,[   1    3    4 ... 9721 9722 9723]
116,[   4    5    8 ... 9721 9722 9723]
117,[   0    1    2 ... 9721 9722 9723]
118,[   0    1    2 ... 9721 9722 9723]
119,[   0    1    2 ... 9721 9722 9723]
120,[   0    3    4 ... 9721 9722 9723]
121,[   0    1    5 ... 9721 9722 9723]
122,[   0    1    3 ... 9721 9722 9723]
123,[   0    1    2 ... 9721 9722 9723]
124,[   0    1    2 ... 9721 9722 9723]
125,[   0    1    3 ... 9721 9722 9723]
126,[   0    1    2 ... 9721 9722 9723]
127,[   0    1    2 ... 9721 9722 9723]
128,[   0    1    3 ... 9721 9722 9723]
129,[   0    1    2 ... 9721 9722 9723]
130,[   0    1    4 ... 9721 9722 9723]
131,[   0    1    5 ... 9721 9722 9723]
132,[   0    1    4 ... 9721 9722 9723]
133,[   0    1    3 ... 9721 9722 9723]
134,[   0    1    3 ... 9721 9722 9723]
135,[   0    1    3 ... 9721 9722 9723]
136,[   0    1    2 ... 9721 9722 9723]
137,[   0    1    2 ... 9721 9722 9723]
138,[   0    1    2 ... 9721 9722 9723]
139,[   0    4    5 ... 9721 9722 9723]
140,[   0    1    3 ... 9721 9722 9723]
141,[   0    1    4 ... 9721 9722 9723]
142,[   0    1    2 ... 9721 9722 9723]
143,[   0    1    3 ... 9721 9722 9723]
144,[   0    1    2 ... 9721 9722 9723]
145,[   0    1    2 ... 9721 9722 9723]
146,[   0    1    2 ... 9721 9722 9723]
147,[   0    1    2 ... 9721 9722 9723]
148,[   0    1    2 ... 9721 9722 9723]
149,[   2    3    4 ... 9721 9722 9723]
150,[   1    2    3 ... 9721 9722 9723]
151,[   0    1    4 ... 9721 9722 9723]
152,[   0    1    2 ... 9721 9722 9723]
153,[   0    1    2 ... 9721 9722 9723]
154,[   0    1    2 ... 9721 9722 9723]
155,[   0    1    4 ... 9721 9722 9723]
156,[   0    1    2 ... 9721 9722 9723]
157,[   0    1    2 ... 9721 9722 9723]
158,[   0    1    2 ... 9721 9722 9723]
159,[   0    4    5 ... 9721 9722 9723]
160,[   0    1    2 ... 9721 9722 9723]
161,[   0    1    2 ... 9721 9722 9723]
162,[   0    1    2 ... 9721 9722 9723]
163,[   0    1    2 ... 9721 9722 9723]
164,[   0    1    2 ... 9721 9722 9723]
165,[   0    4    5 ... 9721 9722 9723]
166,[   0    1    2 ... 9721 9722 9723]
167,[   0    1    2 ... 9721 9722 9723]
168,[   1    2    3 ... 9721 9722 9723]
169,[   0    1    2 ... 9721 9722 9723]
170,[   0    1    3 ... 9721 9722 9723]
171,[   0    1    2 ... 9721 9722 9723]
172,[   0    1    2 ... 9721 9722 9723]
173,[   0    1    2 ... 9721 9722 9723]
174,[   0    1    2 ... 9721 9722 9723]
175,[   0    1    3 ... 9721 9722 9723]
176,[   0    1    4 ... 9721 9722 9723]
177,[   0    1    4 ... 9721 9722 9723]
178,[   1    3    4 ... 9721 9722 9723]
179,[   0    1    2 ... 9721 9722 9723]
180,[   0    3    4 ... 9721 9722 9723]
181,[   0    5    7 ... 9721 9722 9723]
182,[   0    1    2 ... 9721 9722 9723]
183,[   0    1    2 ... 9721 9722 9723]
184,[   0    1    2 ... 9721 9722 9723]
185,[   0    1    2 ... 9721 9722 9723]
186,[   0    1    5 ... 9721 9722 9723]
187,[   0    1    2 ... 9721 9722 9723]
188,[   0    1    2 ... 9721 9722 9723]
189,[   0    1    2 ... 9721 9722 9723]
190,[   0    4    5 ... 9721 9722 9723]
191,[   0    1    3 ... 9721 9722 9723]
192,[   0    1    2 ... 9721 9722 9723]
193,[   0    1    2 ... 9721 9722 9723]
194,[   0    2    5 ... 9721 9722 9723]
195,[   0    1    2 ... 9721 9722 9723]
196,[   0    1    2 ... 9721 9722 9723]
197,[   0    1    4 ... 9721 9722 9723]
198,[   0    4    5 ... 9721 9722 9723]
199,[   0    1    3 ... 9721 9722 9723]
200,[   0    1    2 ... 9721 9722 9723]
201,[   0    2    4 ... 9721 9722 9723]
202,[   0    1    2 ... 9721 9722 9723]
203,[   0    1    3 ... 9721 9722 9723]
204,[   0    1    2 ... 9721 9722 9723]
205,[   0    1    2 ... 9721 9722 9723]
206,[   0    1    2 ... 9721 9722 9723]
207,[   0    1    2 ... 9721 9722 9723]
208,[   0    1    2 ... 9721 9722 9723]
209,[   0    1    2 ... 9721 9722 9723]
210,[   0    1    2 ... 9721 9722 9723]
211,[   0    1    2 ... 9721 9722 9723]
212,[   0    1    2 ... 9721 9722 9723]
213,[   0    1    2 ... 9721 9722 9723]
214,[   0    1    2 ... 9721 9722 9723]
215,[   0    1    2 ... 9721 9722 9723]
216,[   4    5    7 ... 9721 9722 9723]
217,[   0    1    2 ... 9721 9722 9723]
218,[   0    4    5 ... 9721 9722 9723]
219,[   0    4    5 ... 9721 9722 9723]
220,[   0    1    2 ... 9721 9722 9723]
221,[   0    1    4 ... 9721 9722 9723]
222,[   0    1    3 ... 9721 9722 9723]
223,[   0    1    2 ... 9721 9722 9723]
224,[   0    1    2 ... 9721 9722 9723]
225,[   1    3    4 ... 9721 9722 9723]
226,[   0    1    3 ... 9721 9722 9723]
227,[   0    1    2 ... 9721 9722 9723]
228,[   0    1    2 ... 9721 9722 9723]
229,[   0    1    3 ... 9721 9722 9723]
230,[   0    1    2 ... 9721 9722 9723]
231,[   0    1    3 ... 9721 9722 9723]
232,[   0    1    4 ... 9721 9722 9723]
233,[   0    1    2 ... 9721 9722 9723]
234,[   0    1    2 ... 9721 9722 9723]
235,[   0    1    2 ... 9721 9722 9723]
236,[   0    1    2 ... 9721 9722 9723]
237,[   0    1    2 ... 9721 9722 9723]
238,[   0    4    5 ... 9721 9722 9723]
239,[   1    2    3 ... 9721 9722 9723]
240,[   0    1    4 ... 9721 9722 9723]
241,[   0    1    3 ... 9721 9722 9723]
242,[   0    1    2 ... 9721 9722 9723]
243,[   0    2    3 ... 9721 9722 9723]
244,[   0    1    2 ... 9721 9722 9723]
245,[   0    1    2 ... 9721 9722 9723]
246,[   0    1    4 ... 9721 9722 9723]
247,[   0    1    2 ... 9721 9722 9723]
248,[   0    1    8 ... 9721 9722 9723]
249,[   0    1    2 ... 9721 9722 9723]
250,[   0    1    3 ... 9721 9722 9723]
251,[   0    1    2 ... 9721 9722 9723]
252,[   0    1    2 ... 9721 9722 9723]
253,[   0    1    4 ... 9721 9722 9723]
254,[   0    1    2 ... 9721 9722 9723]
255,[   0    1    2 ... 9721 9722 9723]
256,[   0    1    2 ... 9721 9722 9723]
257,[   0    1    2 ... 9721 9722 9723]
258,[   0    1    2 ... 9721 9722 9723]
259,[   0    1    4 ... 9721 9722 9723]
260,[   0    1    4 ... 9721 9722 9723]
261,[   0    1    2 ... 9721 9722 9723]
262,[   0    1    2 ... 9721 9722 9723]
263,[   0    1    2 ... 9721 9722 9723]
264,[   0    1    2 ... 9721 9722 9723]
265,[   0    2    4 ... 9721 9722 9723]
266,[   0    1    2 ... 9721 9722 9723]
267,[   0    1    4 ... 9721 9722 9723]
268,[   2    3    4 ... 9721 9722 9723]
269,[   2    3    4 ... 9721 9722 9723]
270,[   0    1    2 ... 9721 9722 9723]
271,[   0    1    2 ... 9721 9722 9723]
272,[   0    1    2 ... 9721 9722 9723]
273,[   0    7    8 ... 9721 9722 9723]
274,[   0    1    2 ... 9721 9722 9723]
275,[   0    1    2 ... 9721 9722 9723]
276,[   0    1    2 ... 9721 9722 9723]
277,[   0    1    2 ... 9721 9722 9723]
278,[   0    1    2 ... 9721 9722 9723]
279,[   0    1    2 ... 9721 9722 9723]
280,[   0    1    2 ... 9721 9722 9723]
281,[   0    2    4 ... 9721 9722 9723]
282,[   0    1    2 ... 9721 9722 9723]
283,[   0    1    3 ... 9721 9722 9723]
284,[   0    1    2 ... 9721 9722 9723]
285,[   0    3    5 ... 9721 9722 9723]
286,[   0    1    2 ... 9721 9722 9723]
287,[   1    3    4 ... 9721 9722 9723]
288,[   1    2    3 ... 9721 9722 9723]
289,[   0    1    2 ... 9721 9722 9723]
290,[   0    1    2 ... 9721 9722 9723]
291,[   0    1    2 ... 9721 9722 9723]
292,[   0    1    2 ... 9721 9722 9723]
293,[   5    6    7 ... 9721 9722 9723]
294,[   0    1    2 ... 9721 9722 9723]
295,[   0    1    2 ... 9721 9722 9723]
296,[   0    5    6 ... 9721 9722 9723]
297,[   0    1    4 ... 9721 9722 9723]
298,[   0    1    2 ... 9721 9722 9723]
299,[   0    1    2 ... 9721 9722 9723]
300,[   0    1    4 ... 9721 9722 9723]
301,[   1    3    4 ... 9721 9722 9723]
302,[   0    1    2 ... 9721 9722 9723]
303,[   0    1    2 ... 9721 9722 9723]
304,[   0    5    6 ... 9721 9722 9723]
305,[   0    1    2 ... 9721 9722 9723]
306,[   1    7    9 ... 9721 9722 9723]
307,[   2    4    5 ... 9721 9722 9723]
308,[   0    1    2 ... 9721 9722 9723]
309,[   0    1    2 ... 9721 9722 9723]
310,[   0    1    2 ... 9721 9722 9723]
311,[   0    2    3 ... 9721 9722 9723]
312,[   0    6    7 ... 9721 9722 9723]
313,[   0    4    5 ... 9721 9722 9723]
314,[   0    1    2 ... 9721 9722 9723]
315,[   0    1    2 ... 9721 9722 9723]
316,[   0    4    5 ... 9721 9722 9723]
317,[   0    3    4 ... 9721 9722 9723]
318,[   0    1    2 ... 9721 9722 9723]
319,[   0    1    2 ... 9721 9722 9723]
320,[   1    2    3 ... 9721 9722 9723]
321,[   0    1    4 ... 9721 9722 9723]
322,[   0    1    2 ... 9721 9722 9723]
323,[   0    1    2 ... 9721 9722 9723]
324,[   0    2    3 ... 9721 9722 9723]
325,[   0    1    4 ... 9721 9722 9723]
326,[   0    1    2 ... 9721 9722 9723]
327,[   0    1    4 ... 9721 9722 9723]
328,[   0    1    2 ... 9721 9722 9723]
329,[   1    4    5 ... 9721 9722 9723]
330,[   0    1    2 ... 9721 9722 9723]
331,[   0    1    4 ... 9721 9722 9723]
332,[   0    1    2 ... 9721 9722 9723]
333,[   0    1    3 ... 9721 9722 9723]
334,[   0    1    2 ... 9721 9722 9723]
335,[   0    5    7 ... 9721 9722 9723]
336,[   4    5    7 ... 9721 9722 9723]
337,[   0    1    2 ... 9721 9722 9723]
338,[   0    3    4 ... 9721 9722 9723]
339,[   0    1    2 ... 9721 9722 9723]
340,[   0    1    2 ... 9721 9722 9723]
341,[   0    1    2 ... 9721 9722 9723]
342,[   0    1    2 ... 9721 9722 9723]
343,[   0    1    2 ... 9721 9722 9723]
344,[   0    1    2 ... 9721 9722 9723]
345,[   0    1    4 ... 9721 9722 9723]
346,[   0    1    3 ... 9721 9722 9723]
347,[   0    1    2 ... 9721 9722 9723]
348,[   0    1    2 ... 9721 9722 9723]
349,[   0    1    2 ... 9721 9722 9723]
350,[   0    1    3 ... 9721 9722 9723]
351,[   0    1    4 ... 9721 9722 9723]
352,[   0    3    5 ... 9721 9722 9723]
353,[   0    1    5 ... 9721 9722 9723]
354,[   0    1    2 ... 9721 9722 9723]
355,[   0    1    2 ... 9721 9722 9723]
356,[   0    1    2 ... 9721 9722 9723]
357,[   0    1    2 ... 9721 9722 9723]
358,[   0    1    2 ... 9721 9722 9723]
359,[   0    1    2 ... 9721 9722 9723]
360,[   0    1    2 ... 9721 9722 9723]
361,[   0    5    7 ... 9721 9722 9723]
362,[   0    1    2 ... 9721 9722 9723]
363,[   0    1    2 ... 9721 9722 9723]
364,[   0    1    2 ... 9721 9722 9723]
365,[   0    1    2 ... 9721 9722 9723]
366,[   0    1    2 ... 9721 9722 9723]
367,[   5    8   10 ... 9721 9722 9723]
368,[   0    1    3 ... 9721 9722 9723]
369,[   0    1    4 ... 9721 9722 9723]
370,[   0    1    2 ... 9721 9722 9723]
371,[   0    5    7 ... 9721 9722 9723]
372,[   0    4    5 ... 9721 9722 9723]
373,[   0    1    2 ... 9721 9722 9723]
374,[   0    1    2 ... 9721 9722 9723]
375,[   0    1    2 ... 9721 9722 9723]
376,[   0    1    2 ... 9721 9722 9723]
377,[   0    1    2 ... 9721 9722 9723]
378,[   0    1    3 ... 9721 9722 9723]
379,[   0    5    7 ... 9721 9722 9723]
380,[   0    1    4 ... 9721 9722 9723]
381,[   0    1    2 ... 9721 9722 9723]
382,[   0    1    2 ... 9721 9722 9723]
383,[   0    1    2 ... 9721 9722 9723]
384,[   0    2    4 ... 9721 9722 9723]
385,[   0    4    5 ... 9721 9722 9723]
386,[   0    1    5 ... 9721 9722 9723]
387,[   0    1    2 ... 9721 9722 9723]
388,[   0    2    3 ... 9721 9722 9723]
389,[   0    1    2 ... 9721 9722 9723]
390,[   0    5    7 ... 9721 9722 9723]
391,[   0    1    2 ... 9721 9722 9723]
392,[   0    1    2 ... 9721 9722 9723]
393,[   0    1    2 ... 9721 9722 9723]
394,[   0    1    2 ... 9721 9722 9723]
395,[   0    1    2 ... 9721 9722 9723]
396,[   0    1    2 ... 9721 9722 9723]
397,[   0    1    2 ... 9721 9722 9723]
398,[   0    1    2 ... 9721 9722 9723]
399,[   0    4    5 ... 9721 9722 9723]
400,[   0    1    2 ... 9721 9722 9723]
401,[   0    1    3 ... 9721 9722 9723]
402,[   0    1    3 ... 9721 9722 9723]
403,[   0    1    3 ... 9721 9722 9723]
404,[   0    1    2 ... 9721 9722 9723]
405,[   0    1    2 ... 9721 9722 9723]
406,[   0    1    2 ... 9721 9722 9723]
407,[   0    1    2 ... 9721 9722 9723]
408,[   0    1    2 ... 9721 9722 9723]
409,[   1    2    3 ... 9721 9722 9723]
410,[   0    1    4 ... 9721 9722 9723]
411,[   0    1    3 ... 9721 9722 9723]
412,[   0    1    2 ... 9721 9722 9723]
413,[   4   20   45 ... 9721 9722 9723]
414,[   0    1    4 ... 9721 9722 9723]
415,[   0    1    2 ... 9721 9722 9723]
416,[   0    1    3 ... 9721 9722 9723]
417,[   0    1    2 ... 9721 9722 9723]
418,[   0    1    4 ... 9721 9722 9723]
419,[   0    1    2 ... 9721 9722 9723]
420,[   0    1    2 ... 9721 9722 9723]
421,[   0    1    2 ... 9721 9722 9723]
422,[   0    1    2 ... 9721 9722 9723]
423,[   0    1    4 ... 9721 9722 9723]
424,[   0    5    7 ... 9721 9722 9723]
425,[   0    1    3 ... 9721 9722 9723]
426,[   0    1    2 ... 9721 9722 9723]
427,[   0    1    2 ... 9721 9722 9723]
428,[   0    1    2 ... 9721 9722 9723]
429,[   0    1    2 ... 9721 9722 9723]
430,[   0    1    2 ... 9721 9722 9723]
431,[   0    1    4 ... 9721 9722 9723]
432,[   0    1    4 ... 9721 9722 9723]
433,[   0    3    4 ... 9721 9722 9723]
434,[   0    1    2 ... 9721 9722 9723]
435,[   0    1    2 ... 9721 9722 9723]
436,[   0    4    5 ... 9721 9722 9723]
437,[   0    2    3 ... 9721 9722 9723]
438,[   0    1    2 ... 9721 9722 9723]
439,[   0    1    2 ... 9721 9722 9723]
440,[   0    1    3 ... 9721 9722 9723]
441,[   0    1    2 ... 9721 9722 9723]
442,[   0    1    2 ... 9721 9722 9723]
443,[   0    4    5 ... 9721 9722 9723]
444,[   0    1    3 ... 9721 9722 9723]
445,[   0    1    4 ... 9721 9722 9723]
446,[   0    1    2 ... 9721 9722 9723]
447,[   1    4    6 ... 9721 9722 9723]
448,[   0    1    2 ... 9721 9722 9723]
449,[   0    1    2 ... 9721 9722 9723]
450,[   0    2    3 ... 9721 9722 9723]
451,[   0    1    3 ... 9721 9722 9723]
452,[   0    1    5 ... 9721 9722 9723]
453,[   0    1    2 ... 9721 9722 9723]
454,[   0    1    2 ... 9721 9722 9723]
455,[   1    2    3 ... 9721 9722 9723]
456,[   0    1    2 ... 9721 9722 9723]
457,[   0    1    2 ... 9721 9722 9723]
458,[   0    1    2 ... 9721 9722 9723]
459,[   0    1    2 ... 9721 9722 9723]
460,[   0    1    2 ... 9721 9722 9723]
461,[   0    1    4 ... 9721 9722 9723]
462,[   0    1    2 ... 9721 9722 9723]
463,[   0    1    3 ... 9721 9722 9723]
464,[   0    1    2 ... 9721 9722 9723]
465,[   0    1    2 ... 9721 9722 9723]
466,[   0    1    2 ... 9721 9722 9723]
467,[   0    1    3 ... 9721 9722 9723]
468,[   0    5    7 ... 9721 9722 9723]
469,[   4    5    7 ... 9721 9722 9723]
470,[   0    1    2 ... 9721 9722 9723]
471,[   0    1    2 ... 9721 9722 9723]
472,[   0    1    2 ... 9721 9722 9723]
473,[   0    4    7 ... 9721 9722 9723]
474,[   0    1    2 ... 9721 9722 9723]
475,[   0    1    2 ... 9721 9722 9723]
476,[   1    3    4 ... 9721 9722 9723]
477,[   0    1    2 ... 9721 9722 9723]
478,[   0    1    2 ... 9721 9722 9723]
479,[   4    7    8 ... 9721 9722 9723]
480,[   0    1    2 ... 9721 9722 9723]
481,[   0    1    2 ... 9721 9722 9723]
482,[   0    1    4 ... 9721 9722 9723]
483,[   0    1    3 ... 9721 9722 9723]
484,[   0    1    2 ... 9721 9722 9723]
485,[   0    3    4 ... 9721 9722 9723]
486,[   0    1    2 ... 9721 9722 9723]
487,[   0    1    2 ... 9721 9722 9723]
488,[   0    1    3 ... 9721 9722 9723]
489,[   0    1    2 ... 9721 9722 9723]
490,[   0    1    2 ... 9721 9722 9723]
491,[   2    3    4 ... 9721 9722 9723]
492,[   0    2    3 ... 9721 9722 9723]
493,[   0    1    2 ... 9721 9722 9723]
494,[   0    1    2 ... 9721 9722 9723]
495,[   0    1    2 ... 9721 9722 9723]
496,[   0    1    2 ... 9721 9722 9723]
497,[   0    1    3 ... 9721 9722 9723]
498,[   0    1    2 ... 9721 9722 9723]
499,[   0    1    2 ... 9721 9722 9723]
500,[   2    4    5 ... 9721 9722 9723]
501,[   0    1    2 ... 9721 9722 9723]
502,[   0    1    2 ... 9721 9722 9723]
503,[   0    1    2 ... 9721 9722 9723]
504,[   0    1    3 ... 9721 9722 9723]
505,[   0    1    2 ... 9721 9722 9723]
506,[   0    1    3 ... 9721 9722 9723]
507,[   0    1    2 ... 9721 9722 9723]
508,[   0    1    2 ... 9721 9722 9723]
509,[   0    1    2 ... 9721 9722 9723]
510,[   0    1    2 ... 9721 9722 9723]
511,[   0    1    4 ... 9721 9722 9723]
512,[   0    1    2 ... 9721 9722 9723]
513,[   0    1    3 ... 9721 9722 9723]
514,[   0    1    2 ... 9721 9722 9723]
515,[   0    1    2 ... 9721 9722 9723]
516,[   0    1    3 ... 9721 9722 9723]
517,[   0    1    2 ... 9721 9722 9723]
518,[   0    1    2 ... 9721 9722 9723]
519,[   0    1    2 ... 9721 9722 9723]
520,[   0    2    3 ... 9721 9722 9723]
521,[   0    1    2 ... 9721 9722 9723]
522,[   0    1    2 ... 9721 9722 9723]
523,[   0    4    5 ... 9721 9722 9723]
524,[   0    1    4 ... 9721 9722 9723]
525,[   0    1    2 ... 9721 9722 9723]
526,[   0    1    2 ... 9721 9722 9723]
527,[   0    1    2 ... 9721 9722 9723]
528,[   0    1    2 ... 9721 9722 9723]
529,[   0    1    2 ... 9721 9722 9723]
530,[   0    1    2 ... 9721 9722 9723]
531,[   0    2    3 ... 9721 9722 9723]
532,[   0    1    2 ... 9721 9722 9723]
533,[   0    1    3 ... 9721 9722 9723]
534,[   0    1    2 ... 9721 9722 9723]
535,[   0    1    2 ... 9721 9722 9723]
536,[   0    1    2 ... 9721 9722 9723]
537,[   0    1    2 ... 9721 9722 9723]
538,[   0    1    2 ... 9721 9722 9723]
539,[   0    1    3 ... 9721 9722 9723]
540,[   0    1    4 ... 9721 9722 9723]
541,[   0    1    3 ... 9721 9722 9723]
542,[   0    1    2 ... 9721 9722 9723]
543,[   1    2    3 ... 9721 9722 9723]
544,[   0    1    2 ... 9721 9722 9723]
545,[   0    1    2 ... 9721 9722 9723]
546,[   0    1    2 ... 9721 9722 9723]
547,[   0    1    2 ... 9721 9722 9723]
548,[   0    1    2 ... 9721 9722 9723]
549,[   0    1    2 ... 9721 9722 9723]
550,[   0    1    3 ... 9721 9722 9723]
551,[   1    2    3 ... 9721 9722 9723]
552,[   0    2    4 ... 9721 9722 9723]
553,[   0    1    2 ... 9721 9722 9723]
554,[   1    2    4 ... 9721 9722 9723]
555,[   0    1    2 ... 9721 9722 9723]
556,[   0    1    2 ... 9721 9722 9723]
557,[   0    1    2 ... 9721 9722 9723]
558,[   0    2    3 ... 9721 9722 9723]
559,[   0    1    5 ... 9721 9722 9723]
560,[   0    4    5 ... 9721 9722 9723]
561,[   0    1    2 ... 9721 9722 9723]
562,[   0    1    2 ... 9721 9722 9723]
563,[   0    1    2 ... 9721 9722 9723]
564,[   0    1    4 ... 9721 9722 9723]
565,[   0    1    2 ... 9721 9722 9723]
566,[   0    1    2 ... 9721 9722 9723]
567,[   0    1    2 ... 9721 9722 9723]
568,[   0    1    2 ... 9721 9722 9723]
569,[   0    1    3 ... 9721 9722 9723]
570,[   0    1    2 ... 9721 9722 9723]
571,[   0    1    2 ... 9721 9722 9723]
572,[   0    4    5 ... 9721 9722 9723]
573,[   0    1    3 ... 9721 9722 9723]
574,[   0    1    2 ... 9721 9722 9723]
575,[   0    1    2 ... 9721 9722 9723]
576,[   0    2    3 ... 9721 9722 9723]
577,[   0    1    2 ... 9721 9722 9723]
578,[   0    1    2 ... 9721 9722 9723]
579,[   0    5    7 ... 9721 9722 9723]
580,[   0    1    2 ... 9721 9722 9723]
581,[   0    1    2 ... 9721 9722 9723]
582,[   0    1    2 ... 9721 9722 9723]
583,[   0    1    3 ... 9721 9722 9723]
584,[   0    1    2 ... 9721 9722 9723]
585,[   0    1    2 ... 9721 9722 9723]
586,[   0    1    2 ... 9721 9722 9723]
587,[   4    5    7 ... 9721 9722 9723]
588,[   0    1    2 ... 9721 9722 9723]
589,[   4    5    7 ... 9721 9722 9723]
590,[   0    1    2 ... 9721 9722 9723]
591,[   0    2    3 ... 9721 9722 9723]
592,[   0    1    2 ... 9721 9722 9723]
593,[   1    2    3 ... 9721 9722 9723]
594,[   0    1    2 ... 9721 9722 9723]
595,[   0    1    2 ... 9721 9722 9723]
596,[   0    7    8 ... 9721 9722 9723]
597,[   0    1    2 ... 9721 9722 9723]
598,[   7   20   27 ... 9721 9722 9723]
599,[   0    1    3 ... 9721 9722 9723]
600,[   0    1    4 ... 9721 9722 9723]
601,[   0    4    5 ... 9721 9722 9723]
602,[   0    2    3 ... 9721 9722 9723]
603,[   0    2    3 ... 9721 9722 9723]
604,[   0    1    2 ... 9721 9722 9723]
605,[   0    1    5 ... 9721 9722 9723]
606,[   0    1    2 ... 9721 9722 9723]
